category,study,variant,metric,value,unit,status,evidence_seal
quality,GSM8K+IFEval,BF16,gsm8k_flexible,96.512509,percent,SEALED,aa28cf974870dede92b5c15f6dd565b8716b36c6
quality,GSM8K+IFEval,BF16,gsm8k_strict,96.057619,percent,SEALED,aa28cf974870dede92b5c15f6dd565b8716b36c6
quality,GSM8K+IFEval,BF16,ifeval_prompt_strict,81.515712,percent,SEALED,aa28cf974870dede92b5c15f6dd565b8716b36c6
quality,GSM8K+IFEval,BF16,ifeval_instruction_strict,86.810552,percent,SEALED,aa28cf974870dede92b5c15f6dd565b8716b36c6
quality,GSM8K+IFEval,FP8,gsm8k_flexible,95.981804,percent,SEALED,417704f6636bf14f544ad34f89e752cb160dd4ff
quality,GSM8K+IFEval,FP8,gsm8k_strict,95.830174,percent,SEALED,417704f6636bf14f544ad34f89e752cb160dd4ff
quality,GSM8K+IFEval,FP8,ifeval_prompt_strict,81.330869,percent,SEALED,417704f6636bf14f544ad34f89e752cb160dd4ff
quality,GSM8K+IFEval,FP8,ifeval_instruction_strict,87.170264,percent,SEALED,417704f6636bf14f544ad34f89e752cb160dd4ff
quality,GSM8K+IFEval,NVFP4,gsm8k_flexible,95.375284,percent,SEALED,040dd1d02e52829e58fa53481cb1236c00911617
quality,GSM8K+IFEval,NVFP4,gsm8k_strict,95.223654,percent,SEALED,040dd1d02e52829e58fa53481cb1236c00911617
quality,GSM8K+IFEval,NVFP4,ifeval_prompt_strict,81.885397,percent,SEALED,040dd1d02e52829e58fa53481cb1236c00911617
quality,GSM8K+IFEval,NVFP4,ifeval_instruction_strict,87.410072,percent,SEALED,040dd1d02e52829e58fa53481cb1236c00911617
reasoning,50-task hard pack,OFF,accuracy,68.0,percent,SEALED,e5fd10282bd758e0d65b836a8c1b4b39a609b463
reasoning,50-task hard pack,OFF,truncations,1,count,SEALED,e5fd10282bd758e0d65b836a8c1b4b39a609b463
reasoning,50-task hard pack,LOW,accuracy,94.0,percent,SEALED,e5fd10282bd758e0d65b836a8c1b4b39a609b463
reasoning,50-task hard pack,LOW,truncations,0,count,SEALED,e5fd10282bd758e0d65b836a8c1b4b39a609b463
reasoning,50-task hard pack,XHIGH,accuracy,88.0,percent,SEALED,e5fd10282bd758e0d65b836a8c1b4b39a609b463
reasoning,50-task hard pack,XHIGH,truncations,5,count,SEALED,e5fd10282bd758e0d65b836a8c1b4b39a609b463
reasoning,shader budget 2048,HF LOW,pass,70.0,percent,SEALED,603e43a37d6e75176d0033cb067749db5854a00f
reasoning,shader budget 2048,HF LOW,truncated,21.7,percent,SEALED,603e43a37d6e75176d0033cb067749db5854a00f
reasoning,shader budget 2048,HF XHIGH,pass,48.3,percent,SEALED,603e43a37d6e75176d0033cb067749db5854a00f
reasoning,shader budget 2048,HF XHIGH,truncated,50.0,percent,SEALED,603e43a37d6e75176d0033cb067749db5854a00f
reasoning,shader budget 2048,Control LOW,pass,73.3,percent,SEALED,603e43a37d6e75176d0033cb067749db5854a00f
reasoning,shader budget 2048,Control LOW,truncated,20.0,percent,SEALED,603e43a37d6e75176d0033cb067749db5854a00f
